sub,act,rep,prob,label,motion_prob,non_motion_prob,all_prob
4,RTT,1_1,"[[8.7162530e-01 7.2570816e-02 3.5441820e-02 8.7361867e-03 1.1625765e-02]
 [2.2636272e-01 9.9706743e-03 3.6761922e-01 1.6739103e-03 3.9437357e-01]
 [1.8947210e-02 7.0277923e-01 6.3509651e-02 1.8654767e-01 2.8216254e-02]
 [1.4605947e-01 7.8289396e-01 3.2716375e-02 2.7371941e-02 1.0958209e-02]
 [7.9745251e-01 1.3571101e-02 4.8743121e-02 1.3704752e-03 1.3886286e-01]
 [5.8475682e-03 9.4142193e-01 2.1550424e-02 2.8702697e-02 2.4774286e-03]
 [2.7171841e-01 6.1191297e-01 2.7057892e-02 7.4797057e-02 1.4513720e-02]
 [8.4538388e-01 6.5316325e-03 4.1363481e-02 5.7812856e-04 1.0614289e-01]
 [1.8901061e-02 8.9435512e-03 9.6837229e-01 4.6942066e-04 3.3137123e-03]
 [6.1023696e-03 9.1669428e-01 2.3593245e-02 4.3073267e-02 1.0536738e-02]
 [3.1392699e-01 3.0310833e-01 4.8913885e-02 1.2018176e-01 2.1386902e-01]
 [8.2443738e-01 3.0764608e-02 5.7549965e-02 3.4716048e-03 8.3776437e-02]
 [3.0725809e-02 4.1727073e-02 6.9279480e-01 6.9510108e-03 2.2780131e-01]
 [1.5288509e-02 9.5521444e-01 1.2729075e-02 1.2653671e-02 4.1144229e-03]
 [3.9426520e-02 9.0452504e-01 4.0454265e-02 9.5129218e-03 6.0812361e-03]
 [5.1412314e-01 1.5097861e-01 2.5298762e-01 1.5031085e-02 6.6879511e-02]
 [8.3922547e-01 2.4147885e-02 8.2124211e-02 1.8382036e-03 5.2664239e-02]
 [1.0709946e-01 1.7737962e-02 8.2141447e-01 1.2555983e-03 5.2492455e-02]
 [2.3828629e-02 2.1973176e-01 6.8185192e-01 4.2296115e-02 3.2291599e-02]
 [2.7226403e-03 9.9334705e-01 2.8697117e-03 9.9405053e-04 6.6549233e-05]
 [7.9918391e-01 1.2470298e-01 1.7874036e-02 3.4436278e-02 2.3802854e-02]]",[0 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 0 0 0 1 0],0.7701407670974731,,0.7701407670974731
23,combing,1_2,"[[8.96220580e-02 8.09195358e-03 1.57777481e-02 1.10304786e-03
  8.85405242e-01]
 [1.15553464e-03 9.92420018e-01 5.05203428e-03 2.79814922e-05
  1.34434691e-03]
 [3.96960269e-04 9.95275974e-01 1.53951033e-03 3.33325734e-05
  2.75424984e-03]
 [1.13556033e-03 9.79953885e-01 5.67929074e-03 2.03082309e-04
  1.30282808e-02]
 [1.08339086e-01 7.89668679e-01 6.39313012e-02 6.76743127e-03
  3.12934630e-02]
 [1.43280777e-03 5.20492322e-04 6.54053222e-03 5.27223223e-04
  9.90978956e-01]
 [1.52181752e-03 3.84431100e-04 9.72150825e-03 3.45543522e-04
  9.88026619e-01]
 [2.02814676e-02 1.47265270e-02 3.38597484e-02 7.58302119e-03
  9.23549175e-01]
 [1.65987641e-01 4.12120558e-02 5.06593168e-01 4.28433390e-03
  2.81922787e-01]]",[4 1 1 1 1 4 4 4 2],0.8527823686599731,0.9469900131225586,0.8946523666381836
23,glasses,1_2,"[[0.83221483 0.12467718 0.01926468 0.00175168 0.02209169]
 [0.24046904 0.6462844  0.05554771 0.01296317 0.04473567]
 [0.01984827 0.73468447 0.16122182 0.05872981 0.02551567]
 [0.01660028 0.0034903  0.00946902 0.00114283 0.9692975 ]
 [0.04244122 0.9305801  0.01771405 0.00639008 0.00287455]
 [0.06489674 0.8744678  0.04665078 0.00818857 0.00579613]]",[0 1 2 4 1 1],0.8036462664604187,0.9692975282669067,0.8312548995018005
4,RTT,3_1,"[[4.39687520e-02 1.36972759e-02 9.38009858e-01 4.04458260e-04
  3.91962053e-03]
 [4.23808163e-03 7.12906662e-03 9.83822048e-01 9.51843918e-04
  3.85903637e-03]
 [3.83975446e-01 4.54528391e-01 2.76445281e-02 1.08090542e-01
  2.57611163e-02]
 [6.82900608e-01 4.77179363e-02 9.30164605e-02 6.41217455e-03
  1.69952765e-01]
 [1.27639668e-02 1.70961430e-03 9.80446517e-01 7.91140847e-05
  5.00078220e-03]
 [9.61228088e-03 8.68913293e-01 3.70555595e-02 7.78423250e-02
  6.57659583e-03]
 [1.43669367e-01 7.88167655e-01 2.69335955e-02 3.24610919e-02
  8.76826141e-03]
 [7.61642456e-01 1.06661245e-02 7.63392448e-02 9.08061222e-04
  1.50444150e-01]
 [2.48761140e-02 3.88202257e-02 9.23869848e-01 2.74225557e-03
  9.69161093e-03]
 [3.50946910e-03 9.81536210e-01 1.19344089e-02 2.28684046e-03
  7.33061228e-04]
 [7.96645761e-01 5.17778285e-02 3.54713947e-02 1.44480783e-02
  1.01656854e-01]
 [3.76320064e-01 4.83835004e-02 2.69852430e-01 7.61590106e-03
  2.97828048e-01]
 [5.59215769e-02 6.15010820e-02 6.80674434e-01 6.21700659e-03
  1.95685923e-01]
 [1.74070187e-02 8.99401307e-01 2.50444561e-02 4.93239462e-02
  8.82328302e-03]
 [3.73495579e-01 4.21172291e-01 5.26050031e-02 1.13960266e-01
  3.87668461e-02]
 [5.08198202e-01 8.98948535e-02 2.27623701e-01 8.30963999e-03
  1.65973589e-01]
 [2.13428706e-01 2.34889556e-02 6.81398809e-01 1.24375208e-03
  8.04397613e-02]
 [3.91070656e-02 2.60016084e-01 6.08661056e-01 5.00383042e-02
  4.21775766e-02]
 [1.36051159e-02 9.75414455e-01 6.81612687e-03 3.62308254e-03
  5.41262911e-04]
 [9.15499747e-01 3.60300615e-02 3.69332246e-02 3.37290461e-03
  8.16414598e-03]
 [1.07819386e-01 6.81044720e-03 6.83280051e-01 5.28569450e-04
  2.01561585e-01]
 [1.34707708e-02 9.31180835e-01 1.89701393e-02 3.28037255e-02
  3.57447425e-03]]",[0 0 1 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1],0.7655310034751892,,0.7655310034751892
23,shelf,1_1,"[[2.76252115e-03 1.24264788e-03 3.20691317e-02 1.59437535e-03
  9.62331355e-01]
 [1.23918033e-03 6.93031761e-04 2.43718680e-02 7.73744658e-04
  9.72922206e-01]
 [9.50804970e-04 3.18478240e-04 1.25613138e-02 3.39104357e-04
  9.85830367e-01]
 [1.11689426e-01 8.82574975e-01 4.01493628e-03 1.50613615e-03
  2.14519605e-04]
 [3.86882097e-01 2.37934273e-02 3.59960794e-01 2.67596543e-03
  2.26687670e-01]
 [1.79669023e-01 5.54219365e-01 2.29511380e-01 1.18104778e-02
  2.47898046e-02]
 [1.24428291e-02 9.84254360e-01 2.35888315e-03 8.41429457e-04
  1.02482205e-04]
 [9.33342695e-01 7.25711184e-03 7.26223458e-03 1.27610972e-03
  5.08618355e-02]
 [6.24287203e-02 6.94731250e-03 7.64062643e-01 6.54194329e-04
  1.65907070e-01]
 [8.22364241e-02 8.05199921e-01 7.99399614e-02 1.92194656e-02
  1.34043032e-02]
 [7.45707095e-01 3.69862877e-02 9.61808488e-02 5.84948622e-03
  1.15276277e-01]
 [2.67630458e-01 1.49729505e-01 5.38629651e-01 5.70945023e-03
  3.83009873e-02]
 [1.68722831e-02 9.81467187e-01 1.15688657e-03 4.84279823e-04
  1.93259948e-05]
 [1.58984642e-02 8.12445884e-04 1.62751049e-01 1.96152323e-04
  8.20341825e-01]
 [1.82494298e-02 9.75906372e-01 4.32546437e-03 1.33712869e-03
  1.81557756e-04]
 [7.85824239e-01 1.27448082e-01 2.50476934e-02 7.40134111e-03
  5.42786941e-02]
 [2.07622238e-02 2.23642355e-03 8.91832650e-01 3.39921418e-04
  8.48288313e-02]
 [9.90918092e-03 9.86171901e-01 3.00938729e-03 8.47077346e-04
  6.25183820e-05]
 [7.28362322e-01 4.56788316e-02 4.70655300e-02 8.38062447e-03
  1.70512721e-01]
 [2.96637043e-02 8.42075329e-03 9.50186789e-01 4.84941702e-04
  1.12438183e-02]
 [2.15969551e-02 9.65139925e-01 8.63446109e-03 3.88656952e-03
  7.42164557e-04]]",[4 4 4 1 0 2 1 0 2 2 0 2 1 0 1 1 2 1 0 2 1],0.8155615329742432,0.9736946225166321,0.8381518125534058
4,RTT,1_1,"[[1.75596297e-01 3.18240584e-03 5.56405447e-03 1.12793106e-03
  8.14529240e-01]
 [2.41829008e-02 9.33552861e-01 1.73139293e-02 2.12117881e-02
  3.73856700e-03]
 [6.92127571e-02 9.79193114e-03 1.65276766e-01 1.86321966e-03
  7.53855228e-01]
 [1.23017235e-02 9.82078493e-01 2.82859616e-03 2.66890763e-03
  1.22274316e-04]
 [1.08685859e-01 1.74289253e-02 8.11037198e-02 4.18306515e-03
  7.88598359e-01]
 [1.60790272e-02 9.72589731e-01 3.64260725e-03 7.39998557e-03
  2.88681244e-04]
 [3.31138298e-02 1.04806433e-02 9.98786613e-02 1.71496358e-03
  8.54811907e-01]
 [7.26493075e-03 9.88157809e-01 1.92671304e-03 2.59283022e-03
  5.76852508e-05]
 [1.41344607e-01 3.14181633e-02 1.40929043e-01 6.38246955e-03
  6.79925740e-01]
 [1.44125251e-02 9.67413306e-01 4.28119954e-03 1.33154308e-02
  5.77553408e-04]
 [7.89277673e-01 1.83974765e-02 1.14240944e-02 3.37056257e-03
  1.77530199e-01]
 [3.21186632e-02 8.81349623e-01 1.22512262e-02 7.01816306e-02
  4.09886148e-03]
 [9.84442890e-01 5.49008744e-03 4.46719490e-03 4.61252785e-04
  5.13862912e-03]
 [1.21660307e-02 6.99274957e-01 1.89726576e-02 2.60895640e-01
  8.69068317e-03]
 [8.70752394e-01 7.31846318e-02 9.78315994e-03 2.88133379e-02
  1.74664930e-02]
 [1.21968053e-02 1.15498444e-02 9.68087375e-01 1.63230277e-03
  6.53361157e-03]
 [8.53408456e-01 9.78036821e-02 2.66559683e-02 1.21030565e-02
  1.00288503e-02]
 [3.26775871e-02 8.19673419e-01 4.46177386e-02 8.72692987e-02
  1.57619175e-02]
 [3.79796922e-01 5.14376283e-01 1.52116092e-02 7.01229721e-02
  2.04921775e-02]
 [8.00582990e-02 7.31411353e-02 8.20374548e-01 2.50765285e-03
  2.39183009e-02]
 [2.38951162e-01 5.79216719e-01 3.69262248e-02 1.10302679e-01
  3.46032381e-02]
 [4.19131853e-02 6.61591142e-02 8.54173243e-01 3.79694812e-03
  3.39575224e-02]
 [7.90699720e-02 8.83320451e-01 6.74946280e-03 2.89802719e-02
  1.87989254e-03]
 [2.99505498e-02 8.93309154e-03 2.07065180e-01 2.48995633e-03
  7.51561224e-01]
 [1.28926963e-01 8.28004181e-01 1.36706578e-02 2.62621772e-02
  3.13610560e-03]
 [5.30220121e-02 9.32704955e-02 8.03857803e-01 4.58119996e-03
  4.52685803e-02]
 [7.70348132e-01 1.87246278e-01 1.30503299e-02 2.24423558e-02
  6.91289362e-03]
 [3.04593220e-02 2.46772934e-02 9.30018187e-01 1.50155718e-03
  1.33435754e-02]
 [1.16568349e-01 8.53632033e-01 9.71967168e-03 1.78529061e-02
  2.22705188e-03]
 [9.34726149e-02 1.00135647e-01 6.62045181e-01 3.72283231e-03
  1.40623719e-01]
 [2.71019846e-01 6.46168649e-01 1.89679787e-02 5.23317717e-02
  1.15117831e-02]
 [4.61324528e-02 5.96774705e-02 8.62759292e-01 4.00742143e-03
  2.74233669e-02]]",[4 1 4 1 4 1 4 1 4 1 0 1 0 1 0 2 0 2 0 0 0 2 1 2 0 2 0 2 1 2 0 2],0.8322190046310425,0.7783440351486206,0.8238011598587036
4,facewash,5_1,"[[2.10074568e-03 1.61822280e-03 5.78018138e-03 3.27446940e-03
  9.87226427e-01]
 [1.32288632e-03 9.30637645e-04 4.24464978e-03 2.63159000e-03
  9.90870297e-01]
 [2.54547410e-03 6.57907862e-04 2.27070437e-03 1.32015091e-03
  9.93205786e-01]
 [8.10689386e-03 8.61008745e-03 3.97544391e-02 1.15896976e-02
  9.31938946e-01]
 [2.77178045e-02 4.21611667e-02 3.17372344e-02 3.31129953e-02
  8.65270853e-01]
 [2.64307767e-01 6.64707005e-01 2.77035758e-02 3.36999148e-02
  9.58176330e-03]
 [9.13749412e-02 1.78651333e-01 8.15885067e-02 1.41346961e-01
  5.07038295e-01]
 [3.02575052e-01 6.35297716e-01 1.17799342e-02 4.25952300e-02
  7.75201246e-03]
 [2.34304428e-01 7.28610635e-01 5.76049229e-03 2.93009505e-02
  2.02355743e-03]
 [1.09691322e-01 6.21303260e-01 2.30080727e-02 1.21405333e-01
  1.24592006e-01]
 [2.50598043e-01 7.05471039e-01 6.11136574e-03 3.55618969e-02
  2.25768704e-03]
 [2.39721403e-01 7.01673031e-01 1.43051837e-02 4.00934406e-02
  4.20695357e-03]
 [1.29023322e-03 2.26998236e-03 7.76683865e-03 2.11968622e-03
  9.86553252e-01]
 [1.28355680e-03 6.97332853e-03 6.93367282e-03 3.06721590e-03
  9.81742203e-01]
 [4.68332082e-01 4.34863210e-01 1.87204517e-02 3.88832577e-02
  3.92010361e-02]
 [1.90393999e-01 6.71840489e-01 6.78538904e-02 4.24279980e-02
  2.74836291e-02]
 [1.23935835e-02 9.16040897e-01 3.18917967e-02 2.87134177e-03
  3.68023887e-02]
 [4.13943119e-02 5.85277379e-01 1.57313079e-01 6.25029160e-03
  2.09764883e-01]
 [2.94318765e-01 6.76582038e-01 9.51967668e-03 1.75924767e-02
  1.98703818e-03]]",[4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 2 4 4 2],0.6957626342773438,0.8956900835037231,0.7694201469421387
4,facewash,3_2,"[[3.93025624e-03 1.48778316e-03 1.74338196e-03 3.87007580e-03
  9.88968492e-01]
 [1.07171655e-01 3.36702049e-01 1.12200551e-01 6.52428344e-02
  3.78682852e-01]
 [5.82317240e-04 2.55143415e-04 1.36564206e-03 1.20253372e-03
  9.96594250e-01]
 [8.25098192e-04 1.47679017e-03 2.40188628e-03 4.36445093e-03
  9.90931749e-01]
 [2.86731869e-01 8.58051628e-02 8.99693295e-02 1.39672887e-02
  5.23526371e-01]
 [1.95783615e-01 7.51657844e-01 6.96170935e-03 4.28614914e-02
  2.73538055e-03]
 [1.23283818e-01 6.41348958e-01 2.23664865e-02 1.73508048e-01
  3.94926593e-02]
 [1.51426941e-01 8.06737840e-01 7.08097871e-03 3.21794078e-02
  2.57483241e-03]
 [1.80559009e-01 7.87404120e-01 4.68923897e-03 2.62754019e-02
  1.07227813e-03]
 [1.71118841e-01 7.65930235e-01 1.60214398e-02 4.30717841e-02
  3.85775021e-03]
 [4.70545702e-02 1.40856113e-02 6.68176357e-03 1.49783930e-02
  9.17199671e-01]
 [2.34339848e-01 7.17947602e-01 4.78737801e-03 4.14080396e-02
  1.51708850e-03]
 [2.54788548e-01 7.10567296e-01 3.36419744e-03 3.04978266e-02
  7.82114337e-04]
 [2.59702146e-01 6.78785443e-01 1.00901639e-02 4.77038994e-02
  3.71835195e-03]
 [6.82702288e-02 6.34502351e-01 5.63411526e-02 9.18335840e-02
  1.49052694e-01]
 [4.59839106e-02 6.22036517e-01 3.41375060e-02 1.51770592e-01
  1.46071449e-01]
 [2.23670915e-01 6.92554951e-01 1.09703885e-02 6.17815219e-02
  1.10222204e-02]
 [4.20003623e-01 5.35916388e-01 1.16468342e-02 2.88732946e-02
  3.55984131e-03]
 [2.26177529e-01 6.62628710e-01 3.03057674e-02 5.19707277e-02
  2.89172772e-02]
 [1.99078083e-01 6.87568605e-01 5.71577325e-02 2.99512390e-02
  2.62443628e-02]
 [1.67455345e-01 2.70955384e-01 3.22796941e-01 1.71273630e-02
  2.21665025e-01]
 [9.25784633e-02 5.14419556e-01 9.03125256e-02 4.12100405e-02
  2.61479378e-01]
 [1.34098902e-01 7.36989558e-01 6.52714893e-02 2.71393303e-02
  3.65006961e-02]
 [7.33290464e-02 8.67102742e-01 6.02058182e-03 5.02395183e-02
  3.30806430e-03]
 [2.17951179e-01 7.29794919e-01 8.48937593e-03 4.05086167e-02
  3.25592933e-03]
 [1.94387615e-01 5.98533034e-01 6.91332892e-02 6.18279390e-02
  7.61181638e-02]]",[4 4 4 4 0 1 1 1 1 1 3 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.6661309003829956,0.8544753789901733,0.7023510336875916
30,feeding,2_2,"[[0.34164563 0.02409473 0.01481494 0.01457425 0.6048705 ]
 [0.03858899 0.21978807 0.11936774 0.20843314 0.41382208]
 [0.02680994 0.16667975 0.04274395 0.17916854 0.58459777]
 [0.01672732 0.13881041 0.02230535 0.14139406 0.6807629 ]
 [0.01986493 0.38095006 0.02415484 0.3291898  0.24584034]
 [0.02509842 0.19092304 0.01967803 0.22873144 0.535569  ]
 [0.10182191 0.72877526 0.02684331 0.08965865 0.05290079]
 [0.0929579  0.37689623 0.05653365 0.17172918 0.30188304]
 [0.06185516 0.10020228 0.17904976 0.09987764 0.5590151 ]
 [0.03869971 0.10968082 0.08512411 0.10186527 0.6646301 ]
 [0.00445362 0.01639698 0.00698689 0.08292644 0.88923603]
 [0.09817056 0.52256054 0.05173337 0.08228692 0.24524866]
 [0.09493385 0.19340716 0.17648444 0.07920902 0.4559655 ]
 [0.00880095 0.06507803 0.0329507  0.06370489 0.82946545]
 [0.08020039 0.02511435 0.15562621 0.00865019 0.73040897]
 [0.003539   0.01003291 0.00641043 0.10797288 0.8720448 ]
 [0.0102946  0.00973367 0.016852   0.04439922 0.9187206 ]
 [0.00342989 0.00548892 0.0137895  0.05375909 0.92353266]
 [0.00429795 0.00400627 0.01670411 0.03484464 0.9401471 ]
 [0.01457599 0.01538265 0.05017054 0.05014032 0.8697306 ]
 [0.03512351 0.03145389 0.1076347  0.03739179 0.7883962 ]
 [0.00641973 0.00882259 0.03107766 0.0143909  0.93928915]]",[0 1 1 3 3 3 1 1 0 3 3 0 1 3 0 3 3 3 1 1 1 1],0.6549596190452576,0.7438790798187256,0.6913357377052307
4,RTT,5_1,"[[8.12254727e-01 2.31937263e-02 5.46410494e-02 3.78101459e-03
  1.06129400e-01]
 [1.39216809e-02 1.56259874e-03 9.82114375e-01 5.92547985e-05
  2.34209839e-03]
 [2.00108942e-02 9.27642584e-01 2.91507803e-02 1.76241864e-02
  5.57157211e-03]
 [2.50044558e-02 9.58689749e-01 7.83305243e-03 7.44100148e-03
  1.03184057e-03]
 [9.22441661e-01 4.47576679e-02 1.07371621e-02 6.57741539e-03
  1.54860904e-02]
 [6.07347429e-01 8.51281732e-02 2.40699694e-01 4.78049088e-03
  6.20442964e-02]
 [5.44435263e-01 2.73482185e-02 6.64783716e-02 4.42867586e-03
  3.57309461e-01]
 [1.37270436e-01 1.93330273e-02 8.19196880e-01 9.74814640e-04
  2.32247971e-02]
 [6.66953400e-02 2.68817216e-01 5.74126542e-01 2.43687369e-02
  6.59921840e-02]
 [7.59452581e-02 4.60326105e-01 3.41688335e-01 4.92996164e-02
  7.27406815e-02]
 [1.55662764e-02 9.63949203e-01 1.71227083e-02 2.14382308e-03
  1.21797132e-03]
 [5.94898582e-01 1.50604621e-01 8.68073553e-02 2.43416671e-02
  1.43347800e-01]
 [7.13205874e-01 4.11574952e-02 1.24528944e-01 4.00841422e-03
  1.17099255e-01]
 [4.51429114e-02 9.20904335e-03 8.23388577e-01 4.14599053e-04
  1.21844865e-01]
 [3.38440277e-02 2.53901836e-02 9.30793405e-01 1.46291754e-03
  8.50947946e-03]
 [1.72097906e-02 9.04563785e-01 4.26990874e-02 2.36494262e-02
  1.18780145e-02]
 [1.56854272e-01 7.42291451e-01 6.86532035e-02 1.44170802e-02
  1.77839883e-02]
 [8.81300628e-01 3.35682072e-02 6.70854151e-02 2.35298416e-03
  1.56926662e-02]
 [6.37550712e-01 2.11317930e-02 3.00884992e-01 1.07388839e-03
  3.93586978e-02]]",[0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0],0.7789746522903442,,0.7789746522903442
